Number,Words
73,['iba']
32,['contemporaryclassic']
23,['classic']
15,['newera']
7,['alcoholic']
5,['christmas']
4,"['fruity', 'strongflavor', 'summer', 'winter']"
3,"['brunch', 'hangover', 'halloween', 'colourful', 'sweet', 'citrus']"
2,"['classy', 'cold', 'kids', 'breakfast', 'usa', 'beach', 'drunk', 'refreshing', 'sour', 'sharp', 'fresh', 'asia', 'dark', 'adult']"
1,"['spicy', 'blue', 'nutty', 'dairy', 'datenight', 'purple', 'brazilian', 'dinnerparty', 'frozen', 'orange', 'clear', 'europe', 'simple', 'green', 'lazy', 'strong', 'vegetarian', 'vegan', 'mild', 'german', 'expensive', 'savory', 'nature', 'shot', 'bubbly', 'passion', 'calorific', 'spanish']"
